OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-704254152301400,UNNAMED LAKE 2 MI N OF VABM JOHN NR LONELY AK,"Lake, Reservoir, Impoundment",,19060205,,,,,70.71464130000000,-152.5071539000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704318153260200,UNNAMED LAKE 6.5 MI S OF VABM QUAD NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.72129070000000,-153.4371814000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,12,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704330153004900,UNNAMED LAKE 9.5 MI SE OF VABM FLORA NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.72463180000000,-153.0168948000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,15,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704338153183300,UNNAMED LAKE 8 MI S OF VABM FLORA NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.72684880000000,-153.3124587000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704437153170700,UNNAMED LAKE 7 MI S OF VABM FLORA NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.74323880000000,-153.2885730000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,22,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704543153204300,UNNAMED LAKE 6.5 MI S OF VABM FLORA NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.76157170000000,-153.3485779000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704553152303500,UNNAMED LAKE 1.5 MI E OF VABM BILLY NR LONELY AK,"Lake, Reservoir, Impoundment",,19060205,,,,,70.76436527000000,-152.5129972000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704601153003600,UNNAMED LAKE 7 MI SE OF VABM MARCH NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.76657800000000,-153.0132920000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,12,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704625152462200,UNNAMED LAKE 7.5 MI SE OF VABM APRIL NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.77324900000000,-152.7760627000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-704638152293000,UNNAMED LAKE 2 MI NE OF VABM BILLY NR LONELY AK,"Lake, Reservoir, Impoundment",,19060204,,,,,70.77686619000000,-152.4949435000000,63360,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4,feet,1,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
