OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-693702143410600,JAGO R NR KAKTOVIK AK,Stream,,19060502,,,,,69.61703290000000,-143.6877252000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693737146013801,UA00302508    1S,Spring,,19060501,,,,,69.62669500000000,-146.0300210000000,250000,5,seconds,Interpolated from MAP.,NAD83,1100.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694142145063301,UA00602817    1S,Spring,,19060502,,,,,69.69476860000000,-145.1119450000000,250000,10,seconds,Interpolated from MAP.,NAD83,350.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694147144121000,HULAHULA R SITE 2 NR KAKTOVIK AK,Stream,,19060502,,,,,69.69618470000000,-144.2055334000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694207143142300,OKEROKOVIK R SITE 1 NR KAKTOVIK AK,Stream,,19060502,,,,,69.70176940000000,-143.2424479000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694306143142500,OKEROKOVIK R SITE 2 NR KAKTOVIK AK,Stream,,19060502,,,,,69.71815909000000,-143.2430050000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694539144091500,HULAHULA R SITE 1 NR KAKTOVIK AK,Stream,,19060502,,,,,69.76063708000000,-144.1569253000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694733144490000,MARSH C NR KAKTOVIK AK,Stream,,19060502,,,,,69.79228690000000,-144.8194480000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695038146271000,CANNING R NR DEADHORSE AK,Stream,,19060501,,,,,69.84364510000000,-146.4556409000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695225145120000,KATAKTURUK R NR KAKTOVIK AK,Stream,,19060502,,,,,69.87339708000000,-145.2028048000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
