OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800578,Sample-Routine,Water,Surface Water,1977-10-04,15:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Total,,,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,Historical Lower Reporting Limit,0.013,mg/l NH4,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800578,Sample-Routine,Water,Surface Water,1977-10-04,15:00:00,AKDT,,,,,,,,,,,,,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Total,,,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,Historical Lower Reporting Limit,0.010,mg/l as N,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800826,Sample-Routine,Water,Surface Water,1978-08-15,14:30:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-690516154390600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.033,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800826,Sample-Routine,Water,Surface Water,1978-08-15,14:30:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-690516154390600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.042,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800827,Sample-Routine,Water,Surface Water,1978-08-15,15:00:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-690530154390600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.021,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800827,Sample-Routine,Water,Surface Water,1978-08-15,15:00:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-690530154390600,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.027,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97901337,Sample-Routine,Water,Surface Water,1978-10-26,13:30:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.013,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800584,Sample-Routine,Water,Surface Water,1978-07-27,18:30:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.010,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800584,Sample-Routine,Water,Surface Water,1978-07-27,18:30:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.013,mg/l NH4,,Historical,,Actual,,,,,,,71845,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,nwisak.01.97800586,Sample-Routine,Water,Surface Water,1978-08-14,15:30:00,AKDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-15896000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Total,0.020,mg/l as N,,Historical,,Actual,,,,,,,00610,,,,,,,,,,,,,,,,,NWIS
