date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,timestamp
2023-02-05,50.145833333333336,4.587083333333334,4.8116666666666665,,,,,2845.695416666667,-31.492735042735042,-2.0,,,,2023-02-05 11:56:59.999999744
2023-02-06,166.58823529411765,2.1432773109243697,2.400420168067227,,,,,2803.8708333333334,-30.144303797468353,-2.0,,,,2023-02-06 11:56:59.999999744
2023-02-07,251.725,1.5041666666666667,1.93625,,,,,3030.530416666667,-29.914102564102564,-2.0,,,,2023-02-07 11:56:59.999999744
2023-02-08,276.0042735042735,0.823931623931624,1.0123931623931623,,,,,2737.44875,-30.122844827586206,-2.0,,,,2023-02-08 11:56:59.999999744
2023-02-09,82.75630252100841,0.4373949579831933,0.553361344537815,,,,,2926.9391666666666,-28.32669491525424,-2.0,,,,2023-02-09 11:56:59.999999744
2023-02-10,127.20779220779221,0.5314893617021277,0.6527659574468085,,,,,2871.9130801687766,-28.717521367521368,-2.0,,,,2023-02-10 12:02:41.012658176
2023-02-11,71.40833333333333,8.60625,9.634583333333333,,,,,2845.492916666667,-27.144117647058824,-2.0,,,,2023-02-11 11:56:59.999999744
2023-02-12,56.324894514767934,8.771308016877638,9.456540084388186,,,,,2807.53375,-29.582978723404256,-2.0,,,,2023-02-12 11:56:59.999999744
2023-02-13,146.25862068965517,3.3107296137339053,3.6892703862660947,,,,,2815.1970833333335,-31.916033755274263,-2.0,,,,2023-02-13 11:56:59.999999744
2023-02-14,140.05555555555554,3.13989898989899,3.618181818181818,,,,,2720.6199004975124,-31.10939226519337,-2.0,,,,2023-02-14 10:48:53.731343360
2023-02-15,92.53679653679653,6.905508474576272,7.936440677966102,,,,,2926.10625,-27.77679324894515,-2.0,,,,2023-02-15 11:56:59.999999744
2023-02-16,100.35242290748899,4.564102564102564,5.2094017094017095,,,,,3110.952083333333,-28.980869565217393,-2.0,,,,2023-02-16 11:56:59.999999744
2023-02-17,131.83966244725738,1.7495833333333333,2.3400000000000003,,,,,2810.4329166666666,-29.80913043478261,-2.0,,,,2023-02-17 11:56:59.999999744
