tracer,j,i,dJ_darwin,dJ_bling,asym_rel,model0,obs_pco2
PO4,40,22,-223.74214998729227,-118.39342804362373,0.0004118386773201517,0.000358377059455961,0.00039223416137695313
PO4,41,56,-188.8804203962796,-198.78476986963588,3.563797560921793e-05,0.00029471691232174635,0.00033595784695910334
PO4,44,101,-562.1653134049031,-867.541841112967,0.012015160721316491,0.0002564363821875304,0.0003478350864507051
PO4,44,111,6.400305985598889,-197.16097926909123,1.2000007401971318,0.00029531086329370737,0.00033856074031347595
PO4,48,121,-267.7869028807617,-367.36947905935006,0.050936074130749416,0.00029952972545288503,0.0003665215922494349
PO4,50,80,-452.2595365469677,-514.6698186517758,0.013676090104716215,0.0002994597889482975,0.00038099718108704233
PO4,51,66,-802.8498289346461,-920.0845699224258,0.03884188840336167,0.000280992710031569,0.00041820622777147845
PO4,54,108,-8582.067132745664,-8919.585362696029,0.027438481123091434,0.00018131578690372407,0.00033237413024902345
PO4,55,3,-620.3199985600993,-849.5084639545169,0.00039091671007219066,0.00025473031564615667,0.00037656227001171475
PO4,40,97,-199948.24706133787,23614.900158450015,0.08041208456486384,0.0005122249713167548,0.00037598521781298175
FeT,4,109,-0.0,-13131.1426156852,nan,0.0002532072248868644,0.00040177796936035156
FeT,6,63,833617.5799694615,1004361.7088663005,0.030549168285527638,0.00030618486925959587,0.00036472048164480376
FeT,6,74,1828839.2962544754,1217367.885326836,0.05715700562935159,0.00029673485551029444,0.0003311780194102093
FeT,6,87,382329.9751375577,254189.86291079334,0.03724539862499113,0.0002975716779474169,0.0003204178187502488
FeT,6,97,-90972.76281616582,3299.4574640336796,0.05175353561647739,0.00030031727510504425,0.0002883125338164899
FeT,7,10,-1670819.2271004224,-1444877.511987417,0.04408151220947583,0.00030381596297957003,0.00024051820383788012
FeT,9,120,2732222.826879626,5406588.131934909,0.03624690065879942,0.0002833450853358954,0.0003378032382808605
FeT,10,25,13688473.102928786,-3997288.88427417,0.02675305172335086,0.00032398971961811185,0.0003356227809323486
FeT,10,35,13063633.920539416,-3541947.4165353635,0.015002770119734627,0.000332867493852973,0.0003443587313501019
FeT,13,53,514162.0119162043,2505281.1780295186,0.005986787375231816,0.0002993889502249658,0.00036413286572456536
FeT,17,12,41702.59168542101,2774056.1534882,0.8181824271589277,0.0002628921065479517,0.0003497863656857397
FeT,17,63,8769.303983627913,90695.21835362398,0.052633478415818474,0.0002939020923804492,0.0003664801290993898
FeT,19,1,7994.9133477227815,1105657.5948842329,0.2727258534602958,0.0003032826352864504,0.0003554803670247396
FeT,19,101,55601214.80053417,7447795.831507459,0.3147726099693251,0.0002934215881396085,0.00048292603363204306
FeT,20,23,15540.389209749861,30193.224759098946,1.286770850855054e-05,0.0003550185065250844,0.0003787671202601883
FeT,24,37,5796.206929217684,37278.194281338634,0.07691748971205478,0.0003161148342769593,0.00034977307128906244
FeT,25,73,16974.084166631506,71159.69649173199,9.099708854502896e-06,0.00031436499557457864,0.00034954657030282434
FeT,25,91,-15321.649012138163,644924.4209751227,0.17647394277141995,0.00034605362452566624,0.0003817779936949807
FeT,25,119,37837.9399221467,117573.24651242008,0.027768458056097477,0.00035668438067659736,0.0004128518385190636
FeT,27,55,-118775.94685074066,-1525947.0215054017,0.009544667648934751,0.0004401864716783166,0.0004035625684554544
FeT,30,14,10298.159209838886,119966.2881899789,1.2972064798648754e-05,0.00035039670183323324,0.0003761978352864583
FeT,30,25,-4271.561553524042,-6248.708274311534,0.06936050473300284,0.0003539259487297386,0.00035131582014072963
FeT,34,109,-0.0,185111.00631098484,nan,0.00035873017623089254,0.00040860665529411346
FeT,38,77,2292.725297143075,14840.055654882553,0.14285172198366075,0.0003288451407570392,0.00034725264936587806
FeT,38,121,-0.0,58662.36479592255,nan,0.00032095907954499125,0.0003657535854921646
FeT,39,46,0.0,-5411.836793231986,nan,0.0003191180294379592,0.0003126033668146856
FeT,39,67,3505.634494096262,52289.731815723826,0.09090780300068085,0.0003037040587514639,0.00036533403737040645
FeT,39,89,-12904.958967387483,-1189584.8566557858,1.7658490435537478e-06,0.0004359783779364079,0.0003700523545891922
FeT,40,22,50.61017223131057,4721.4488456513445,1.0,0.000358377059455961,0.00039223416137695313
FeT,41,56,-0.0,35509.69759640659,nan,0.00029471691232174635,0.00033595784695910334
FeT,44,101,-0.0,53562.96525488377,nan,0.0002564363821875304,0.0003478350864507051
FeT,44,111,-0.0,40181.64543190346,nan,0.00029531086329370737,0.00033856074031347595
FeT,48,121,-0.0,112653.95555360352,nan,0.00029952972545288503,0.0003665215922494349
